year,data_mean_global
520,661.3679265
521,661.6320359
522,661.9330222
523,662.2269937
524,662.4780625
525,662.953002
526,663.2839964
527,663.5470559
528,663.951984
529,664.2210408
530,664.5960178
531,664.9550098
532,665.3170559
533,665.8550167
534,666.3780375
535,666.9650398
536,667.5740063
537,668.0310132
538,668.3419925
539,668.5660526
540,668.9049792
541,669.1440617
542,669.4499296
543,669.355034
544,669.3740149
545,669.4469735
546,669.2569641
547,669.1641969
548,670.2160758
549,671.5310127
550,672.7001424
551,673.9298352
552,674.1231203
553,674.5819837
554,674.9830503
555,675.4310129
556,675.8340253
557,676.2000178
558,676.568046
559,676.957962
560,677.0210219
561,677.0610027
562,677.093014
563,677.1930463
564,677.2998723
565,676.6750168
566,676.1029785
567,675.5529519
568,675.023137
569,675.309962
570,675.48304
571,675.6649807
572,675.7370266
573,675.8499983
574,675.9870559
575,676.3429994
576,676.6540417
577,676.9999721
578,677.1550667
579,677.5209758
580,677.71404
581,677.9039428
582,677.7130043
583,677.4609829
584,677.1839969
585,676.9130001
586,676.6229223
587,675.9049828
588,675.183967
589,674.4569619
590,673.7470571
591,673.5739781
592,673.3730043
593,673.1939897
594,673.0079936
595,672.7929876
596,672.5810234
597,672.5479881
598,672.4540012
599,672.3539919
600,672.2229997
601,672.1109981
602,671.9809853
603,671.7709885
604,671.5159936
605,671.2919997
606,671.0739755
607,670.7630016
608,670.5449978
609,670.2929695
610,670.0030299
611,669.8649694
612,669.6550213
613,669.5409836
614,669.4180108
615,669.2249338
616,668.7590125
617,668.3239463
618,667.804024
619,667.3839359
620,666.8960762
621,666.8909863
622,666.8669999
623,666.8030001
624,666.7500098
625,666.730997
626,666.6900065
627,666.6620019
628,666.6360061
629,666.6089977
630,666.5670129
631,666.5669998
632,666.5269907
633,666.3699882
634,666.2740723
635,666.4799641
636,666.5150399
637,666.6770132
638,666.8319944
639,666.9150361
640,667.0729877
641,667.1180209
642,667.211022
643,667.3409995
644,667.4620478
645,667.5669002
646,667.1160242
647,666.7199789
648,666.3039891
649,665.8629916
650,665.4379905
651,665.0199909
652,664.6139953
653,664.2439965
654,663.8819777
655,663.4319871
656,663.0660616
657,663.0149485
658,662.7390167
659,662.5019958
660,662.2909992
661,662.1430475
662,662.176949
663,661.9510257
664,661.7439532
665,661.3940419
666,661.2189603
667,661.0671293
668,661.5149532
669,661.746061
670,662.0830006
671,662.3820285
672,662.6379869
673,662.7019949
674,662.6480188
675,662.6459883
676,662.5420031
677,662.5150876
678,662.9740164
679,663.4820651
680,664.1520358
681,664.7669704
682,664.9480211
683,665.0910222
684,665.3010306
685,665.5840346
686,665.9420227
687,666.3140617
688,666.7989503
689,666.8050299
690,666.8290044
691,666.8690317
692,666.99001
693,667.1080276
694,667.2419821
695,667.1539985
696,666.9880153
697,666.9060016
698,666.7910037
699,666.6650026
700,666.5340422
701,666.4239524
702,666.3031172
703,666.6679786
704,667.0570838
705,667.4339435
706,667.8221473
707,668.1928302
708,668.5395158
709,671.217976
710,673.9313181
711,676.6406322
712,676.637092
713,676.6709982
714,676.7090268
715,676.7610029
716,676.7820319
717,676.8650031
718,676.8860132
719,676.8429888
720,676.6810112
721,676.5140016
722,676.3780289
723,676.3229873
724,676.1680135
725,676.0340041
726,675.8869986
727,675.667992
728,675.4400268
729,675.2679674
730,675.0010462
731,674.881962
732,674.5960223
733,674.4030056
734,674.2710129
735,674.1509922
736,674.0350372
737,673.9139059
738,673.2870011
739,672.683992
740,672.1389713
741,671.5550006
742,671.0499789
743,670.5239817
744,669.9819874
745,669.4849958
746,669.0489806
747,668.6029919
748,668.1619723
749,667.6890001
750,667.1629073
751,666.5391674
752,666.8879897
753,667.2519981
754,667.4630432
755,667.8340211
756,668.0869166
757,667.7399794
758,667.2640097
759,666.9209712
760,666.5179971
761,666.09895
762,665.4959817
763,664.8909863
764,664.3289588
765,663.6689811
766,663.1110358
767,662.892982
768,662.6759961
769,662.4469905
770,662.2330054
771,662.0909992
772,661.9769945
773,661.8480004
774,661.7329947
775,661.609
776,661.4979985
777,661.4060069
778,661.3720083
779,661.3930067
780,661.4370063
781,661.4940087
782,661.573009
783,661.6589993
784,661.6779884
785,661.6250318
786,661.6849473
787,661.4240082
788,661.1699659
789,660.8330261
790,660.6149186
791,660.2132141
792,661.1640042
793,662.0850661
794,662.9880196
795,663.8671155
796,665.0139257
797,665.381047
798,665.7800246
799,666.2260189
800,666.5920618
801,666.9989366
802,666.8770113
803,666.7770174
804,666.7329837
805,666.5199822
806,666.202005
807,665.9550179
808,665.8830153
809,665.7869646
810,665.5220256
811,665.3539938
812,665.252031
813,665.1479478
814,664.8980727
815,664.9179703
816,664.9811246
817,665.6160185
818,666.2950617
819,666.946006
820,667.701148
821,668.542795
822,668.1000496
823,667.7289745
824,667.3460081
825,666.9719731
826,666.6170581
827,666.593995
828,666.5640114
829,666.5350047
830,666.5030096
831,666.4740018
832,666.435012
833,666.3969932
834,666.353039
835,666.4830089
836,666.6320161
837,666.7640023
838,666.8980379
839,667.0289505
840,667.1672077
841,668.2770117
842,669.3800791
843,670.481029
844,671.5861243
845,672.6898498
846,672.7470565
847,672.7959924
848,672.8490287
849,672.8989722
850,672.9401279
851,673.5519997
852,674.1300585
853,674.743013
854,675.3410854
855,675.9829035
856,675.9500369
857,675.9340136
858,675.9179519
859,675.7321097
860,676.0920074
861,676.4640113
862,676.6699941
863,676.6949896
864,676.6130334
865,676.5279029
866,675.8709807
867,675.1440136
868,674.6029414
869,673.8669982
870,673.2059811
871,672.6650369
872,672.3729554
873,671.9780502
874,671.8369721
875,671.6310269
876,671.5620274
877,671.6259736
878,671.5250497
879,671.6640164
880,671.8890294
881,672.1359982
882,672.2650111
883,672.4040641
884,672.7799594
885,672.8941055
886,673.447983
887,673.8280506
888,674.2420021
889,674.5800478
890,675.0100233
891,675.4430257
892,675.8220204
893,676.1730313
894,676.5210001
895,676.8041171
896,677.6730399
897,678.5430464
898,679.3450456
899,680.1520599
900,681.041134
901,681.8277247
902,680.601945
903,679.1799781
904,677.8229297
905,676.5840799
906,676.0819833
907,675.6219925
908,675.2200038
909,674.8009611
910,674.3230449
911,674.1299886
912,673.9340109
913,673.7509885
914,673.5440233
915,673.455004
916,673.395016
917,673.3700014
918,673.3200154
919,673.3220115
920,673.2939903
921,673.2130327
922,673.2349961
923,673.2250251
924,673.2579986
925,673.2630283
926,673.3320012
927,673.3580185
928,673.4030108
929,673.4610203
930,673.5190004
931,673.6010667
932,673.9470151
933,674.2850314
934,674.6250245
935,674.9870411
936,675.3359812
937,675.4480287
938,675.5720162
939,675.6980179
940,675.8310265
941,675.999016
942,676.1630278
943,676.3470126
944,676.5120343
945,676.7310166
946,676.9670468
947,677.2920097
948,677.5690442
949,677.8649903
950,677.9940341
951,678.1560186
952,678.3360289
953,678.5210063
954,678.655042
955,678.8810151
956,679.0840257
957,679.2950303
958,679.5420205
959,679.7540161
960,679.9350351
961,680.0869576
962,679.9200317
963,679.7919876
964,679.638042
965,679.5869653
966,679.489135
967,680.0320113
968,680.5980569
969,681.1950377
970,681.8270565
971,682.5940974
972,683.441883
973,683.3970715
974,683.4629851
975,683.403972
976,683.2481727
977,683.9879722
978,684.5030717
979,685.0960385
980,685.7530339
981,686.3130283
982,686.7279597
983,686.6409739
984,686.2990237
985,686.0369352
986,685.6532195
987,686.5339736
988,687.2130889
989,687.9860107
990,688.6630661
991,689.396038
992,690.1090209
993,690.6610702
994,691.4310605
995,692.2399914
996,692.6490223
997,692.9570345
998,693.3190323
999,693.6880227
1000,694.0520872
1001,694.6970234
1002,695.3260635
1003,696.0140193
1004,696.6050499
1005,697.1860296
1006,697.8110649
1007,698.4089691
1008,698.6890602
1009,699.0279936
1010,699.288065
1011,699.6509704
1012,699.7010314
1013,699.8580278
1014,699.9089505
1015,699.747072
1016,699.7299135
1017,699.2460377
1018,699.0440432
1019,699.0129569
1020,698.689999
1021,698.3220047
1022,698.0660288
1023,697.8989591
1024,697.430963
1025,696.7550022
1026,696.3430936
1027,696.5300211
1028,696.7560026
1029,696.9140466
1030,697.1259946
1031,697.4051374
1032,698.2430256
1033,699.1240849
1034,699.9779609
1035,700.5191321
1036,701.4149941
1037,702.0230163
1038,702.504077
1039,703.116994
1040,703.6361082
1041,704.4149856
1042,704.8489952
1043,705.0440504
1044,705.3350028
1045,705.495002
1046,705.525017
1047,705.5480082
1048,705.4709663
1049,705.1430019
1050,704.7899978
1051,704.4299842
1052,703.9849851
1053,703.4339615
1054,702.7890273
1055,702.3129601
1056,701.7380075
1057,701.2009679
1058,700.6130126
1059,700.0629369
1060,699.4010846
1061,699.1179012
1062,698.3679722
1063,697.5990889
1064,697.3378921
1065,696.6410437
1066,696.2240401
1067,696.0539158
1068,695.4770572
1069,695.1639693
1070,694.9191042
1071,695.0669061
1072,694.8111105
1073,694.9869766
1074,695.0670201
1075,695.0079631
1076,694.7570509
1077,694.8070674
1078,695.1839801
1079,695.3310545
1080,695.6210184
1081,695.8009234
1082,695.4470805
1083,695.4309369
1084,695.1350662
1085,695.0599426
1086,694.7410594
1087,694.6639802
1088,694.4689763
1089,694.0700354
1090,693.9700411
1091,694.0809926
1092,694.0620284
1093,694.1029971
1094,694.0970577
1095,694.3660293
1096,694.7220447
1097,695.16403
1098,695.6050321
1099,696.0280299
1100,696.4460332
1101,696.8950396
1102,697.3570253
1103,697.7990428
1104,698.2700289
1105,698.760052
1106,699.3090205
1107,699.7850358
1108,700.2010058
1109,700.4950508
1110,700.9520364
1111,701.3469937
1112,701.627075
1113,702.1210111
1114,702.5380403
1115,702.9400141
1116,703.3060572
1117,703.798023
1118,704.2480352
1119,704.6850276
1120,705.1110378
1121,705.5380216
1122,705.9490523
1123,706.4550282
1124,706.9530449
1125,707.4920336
1126,708.0110363
1127,708.5590552
1128,709.1810289
1129,709.7680487
1130,710.3540214
1131,710.882054
1132,711.4039925
1133,711.713041
1134,712.0120065
1135,712.2430413
1136,712.5010029
1137,712.7390758
1138,713.2170196
1139,713.6850498
1140,714.2000296
1141,714.7110475
1142,715.1989949
1143,715.4840399
1144,715.7610078
1145,715.9870451
1146,716.2159695
1147,716.1800296
1148,716.1730105
1149,716.161007
1150,716.1340295
1151,716.1459847
1152,716.1080758
1153,716.387016
1154,716.6810242
1155,716.9180145
1156,717.1790706
1157,717.4158439
1158,716.71802
1159,716.0179726
1160,715.2729313
1161,714.4621356
1162,714.4909804
1163,714.5460299
1164,714.6180144
1165,714.7250172
1166,714.8260141
1167,714.9170142
1168,714.9830048
1169,715.0000195
1170,715.0570197
1171,715.1289934
1172,715.1180422
1173,715.2449995
1174,715.3160226
1175,715.3830005
1176,715.4050313
1177,715.42494
1178,715.0440085
1179,714.6509867
1180,714.2569957
1181,713.828974
1182,713.3670473
1183,713.219992
1184,713.068012
1185,712.9179969
1186,712.6889561
1187,712.1699993
1188,711.6769805
1189,711.1579936
1190,710.6599899
1191,710.1789857
1192,709.6779956
1193,709.2119778
1194,708.7720853
1195,708.9250002
1196,709.047027
1197,709.1940121
1198,709.338027
1199,709.4599506
1200,709.1510078
1201,708.8369931
1202,708.5240029
1203,708.2029819
1204,707.8080008
1205,707.4229837
1206,706.9739904
1207,706.5079906
1208,706.034985
1209,705.5049792
1210,704.9309859
1211,704.3009694
1212,703.6590133
1213,703.1229626
1214,702.5220133
1215,702.0269699
1216,701.4509861
1217,700.8029595
1218,700.0710085
1219,699.4899783
1220,698.8339545
1221,698.0289923
1222,697.3269934
1223,696.6839736
1224,696.0760291
1225,695.713997
1226,695.4250078
1227,695.1279762
1228,694.8140571
1229,694.8180126
1230,694.8980184
1231,694.9059747
1232,694.8270773
1233,695.0519936
1234,695.2240476
1235,695.5460349
1236,695.8129476
1237,695.6009849
1238,695.2690362
1239,695.132002
1240,695.035025
1241,695.0090035
1242,694.9440074
1243,694.9080473
1244,695.1290494
1245,695.4289603
1246,695.4340472
1247,695.5129876
1248,695.507029
1249,695.432941
1250,695.1991318
1251,695.4359067
1252,695.22205
1253,695.081986
1254,694.95805
1255,695.0320124
1256,695.1590386
1257,695.4640803
1258,696.0900337
1259,696.6760087
1260,697.1180727
1261,697.7440354
1262,698.412065
1263,699.1440224
1264,699.8911368
1265,700.8398569
1266,700.7790542
1267,700.6889896
1268,700.6200348
1269,700.6580223
1270,700.7349809
1271,700.6620527
1272,700.8040088
1273,700.9109859
1274,700.9761381
1275,701.7270113
1276,702.4590712
1277,703.2470184
1278,703.9660773
1279,704.7139377
