year,data_mean_global,data_mean_nh,data_mean_sh
187,664.270020643185,685.963400418809,642.576640867562
188,664.371022811239,686.064404390235,642.677641232242
189,664.481025500505,686.174398906513,642.787652094496
190,664.60801894743,686.301382119371,642.914655775488
191,664.716026787251,686.409412006382,643.022641568121
192,664.854027874032,686.54737306734,643.160682680725
193,665.024023308495,686.717364577315,643.330682039674
194,665.189029392774,686.882374731594,643.495684053955
195,665.37101356645,687.064341399228,643.677685733672
196,665.493037805313,687.186430904006,643.79964470662
197,665.688009297566,687.381294621508,643.994723973624
198,665.794031956294,687.48747029279,644.100593619798
199,665.944017497756,687.637310737966,644.250724257545
200,666.077044982726,687.770356153552,644.383733811899
201,666.299010789546,687.992348681097,644.605672897996
202,666.450031863215,688.143375429808,644.756688296622
203,666.627016230196,688.320355499203,644.933676961188
204,666.741023671921,688.434421291684,645.047626052159
205,666.897036427247,688.590340048963,645.20373280553
206,667.075007459141,688.768392795468,645.381622122814
207,667.210043942493,688.903356963709,645.516730921276
208,667.39600020969,689.089377957847,645.702622461534
209,667.488043291346,689.181404980437,645.794681602256
210,667.680023059351,689.373352304164,645.986693814539
211,667.893033895353,689.586330614494,646.199737176213
212,668.116017871204,689.809352142426,646.422683599983
213,668.328042584696,690.021328060395,646.634757108996
214,668.580001983953,690.273320087602,646.886683880304
215,668.67702267098,690.370434221548,646.983611120412
216,668.802041591054,690.495370401821,647.108712780286
217,669.000009902648,690.693356857722,647.306662947573
218,669.157045424109,690.850374140227,647.463716707991
219,669.414022210752,691.107304766531,647.720739654974
220,669.636017703211,691.329341727956,647.942693678465
221,669.782023470578,691.475399237158,648.088647703998
222,669.978054367594,691.671334027774,648.284774707414
223,670.290003849502,691.983276907912,648.596730791091
224,670.463025442681,692.156388073053,648.769662812308
225,670.635038738125,692.328362621496,648.941714854755
226,670.897031805696,692.590302520894,649.203761090499
227,671.163014231827,692.856312164438,649.469716299216
228,671.325014921734,693.018383834464,649.631646009004
229,671.42502591546,693.118408530039,649.731643300882
230,671.536021366747,693.229398006173,649.842644727321
231,671.666034121066,693.359386563265,649.972681678867
232,671.85102248778,693.544351518274,650.157693457286
